"Permanent & long-term migration by age, sex and NZ area (Annual-Mar)","","","","",""
"","","","","Arrivals","Departures"
" "," "," ",2011,8778,7123
" "," "," ",2012,8807,8378
" "," "," ",2013,8660,8241
" "," "," ",2014,10139,6209
" "," "," ",2015,13807,5425
" "," "," ",2016,13528,5511
" ","25-29 years","Female",1997,7171,5015
" "," "," ",1998,6265,5626
" "," "," ",1999,5944,6267
" "," "," ",2000,6626,6568
" "," "," ",2001,6534,7081
" "," "," ",2002,7844,6092
" "," "," ",2003,8224,5536
" "," "," ",2004,8049,5285
" "," "," ",2005,7494,5913
" "," "," ",2006,7449,5989
" "," "," ",2007,7721,6043
" "," "," ",2008,7708,6546
" "," "," ",2009,8378,6866
" "," "," ",2010,8363,5599
" "," "," ",2011,7869,6774
" "," "," ",2012,8453,7197
" "," "," ",2013,8747,6971
" "," "," ",2014,9955,5923
" "," "," ",2015,11810,5539
" "," "," ",2016,13317,5710
" "," ","Male",1997,6211,5441
" "," "," ",1998,5299,6214
" "," "," ",1999,4786,6974
" "," "," ",2000,5904,7148
" "," "," ",2001,5728,7478
" "," "," ",2002,7297,6284
" "," "," ",2003,7770,5560
" "," "," ",2004,7075,5504
" "," "," ",2005,6609,6226
" "," "," ",2006,6620,6325
" "," "," ",2007,6903,6374
" "," "," ",2008,7158,7019
" "," "," ",2009,8193,7292
" "," "," ",2010,8066,5946
" "," "," ",2011,7733,7417
" "," "," ",2012,8304,8019
" "," "," ",2013,8643,7234
" "," "," ",2014,10112,6187
" "," "," ",2015,12494,5894
" "," "," ",2016,13646,6149
" ","30-34 years","Female",1997,5013,2578
" "," "," ",1998,3861,2861
" "," "," ",1999,3269,3314
" "," "," ",2000,3551,3395
" "," "," ",2001,3750,4118
" "," "," ",2002,4880,3432
" "," "," ",2003,5957,2903
" "," "," ",2004,5638,2983
" "," "," ",2005,4887,3217
" "," "," ",2006,4935,3429
" "," "," ",2007,5008,3437
" "," "," ",2008,4649,3783
" "," "," ",2009,4900,3784
" "," "," ",2010,4344,3023
" "," "," ",2011,4341,3563
" "," "," ",2012,4526,4098
" "," "," ",2013,4718,3854
" "," "," ",2014,5303,3226
" "," "," ",2015,5903,2897
" "," "," ",2016,6792,2824
" "," ","Male",1997,5092,2883
" "," "," ",1998,3828,3120
" "," "," ",1999,3227,3830
" "," "," ",2000,3490,3817
" "," "," ",2001,3659,4308
" "," "," ",2002,5002,3499
" "," "," ",2003,5806,3001
" "," "," ",2004,5359,3020
" "," "," ",2005,4865,3377
" "," "," ",2006,4768,3657
" "," "," ",2007,4903,3622
" "," "," ",2008,4945,4025
" "," "," ",2009,4906,4050
" "," "," ",2010,4287,3237
" "," "," ",2011,4352,3858
" "," "," ",2012,4623,4302
" "," "," ",2013,4989,4144
" "," "," ",2014,5783,3291
" "," "," ",2015,6597,3079
" "," "," ",2016,7298,3153
" ","35-39 years","Female",1997,3362,1839
" "," "," ",1998,2792,2131
" "," "," ",1999,2429,2374
" "," "," ",2000,2408,2488
" "," "," ",2001,2579,3135
" "," "," ",2002,3464,2314
" "," "," ",2003,3889,1900
" "," "," ",2004,3584,2073
" "," "," ",2005,3117,2403
" "," "," ",2006,3221,2550
" "," "," ",2007,3482,2674
" "," "," ",2008,3401,3060
" "," "," ",2009,3307,3013
" "," "," ",2010,2903,2302
" "," "," ",2011,2684,2707
" "," "," ",2012,2684,3057
" "," "," ",2013,2601,2667
" "," "," ",2014,2936,2115
" "," "," ",2015,3186,1839
" "," "," ",2016,3646,1799
" "," ","Male",1997,3638,2064
" "," "," ",1998,2908,2346
" "," "," ",1999,2522,2680
" "," "," ",2000,2647,2844
" "," "," ",2001,2730,3573
" "," "," ",2002,3754,2534
" "," "," ",2003,4121,2101
" "," "," ",2004,3826,2044
" "," "," ",2005,3322,2423
" "," "," ",2006,3635,2542
" "," "," ",2007,3681,2767
" "," "," ",2008,3532,3242
" "," "," ",2009,3582,3129
" "," "," ",2010,2909,2394
" "," "," ",2011,2730,2868
" "," "," ",2012,2716,3124
" "," "," ",2013,3006,2677
" "," "," ",2014,3197,2153
" "," "," ",2015,3684,1770
" "," "," ",2016,4234,1768
" ","40-44 years","Female",1997,2356,1243
" "," "," ",1998,1787,1344
" "," "," ",1999,1582,1613
" "," "," ",2000,1585,1799
" "," "," ",2001,1737,2241
" "," "," ",2002,2433,1747
" "," "," ",2003,2776,1525
" "," "," ",2004,2619,1552
" "," "," ",2005,2198,1942
" "," "," ",2006,2493,1943
" "," "," ",2007,2526,2028
" "," "," ",2008,2317,2308
" "," "," ",2009,2230,2388
" "," "," ",2010,1989,1820
" "," "," ",2011,1928,2111
" "," "," ",2012,1905,2526
" "," "," ",2013,1944,2233
" "," "," ",2014,2104,1751
" "," "," ",2015,2383,1521
" "," "," ",2016,2529,1397
" "," ","Male",1997,2800,1414
" "," "," ",1998,2114,1543
" "," "," ",1999,1810,1872
" "," "," ",2000,1817,2042
" "," "," ",2001,2019,2428
" "," "," ",2002,2761,1873
" "," "," ",2003,3241,1580
" "," "," ",2004,2880,1662
" "," "," ",2005,2497,1926
" "," "," ",2006,2749,2125
" "," "," ",2007,2778,2217
" "," "," ",2008,2647,2510
" "," "," ",2009,2525,2512
" "," "," ",2010,2065,1824
" "," "," ",2011,2045,2282
" "," "," ",2012,2061,2545
" "," "," ",2013,2146,2270
" "," "," ",2014,2567,1747
" "," "," ",2015,2677,1481
" "," "," ",2016,2941,1352
" ","45-49 years","Female",1997,1549,992
" "," "," ",1998,1149,1125
" "," "," ",1999,1076,1259
" "," "," ",2000,1033,1422
" "," "," ",2001,1154,1618
" "," "," ",2002,1499,1333
" "," "," ",2003,1706,1150
" "," "," ",2004,1581,1203
" "," "," ",2005,1444,1373
" "," "," ",2006,1588,1505
" "," "," ",2007,1512,1548
" "," "," ",2008,1488,1840
" "," "," ",2009,1545,1982
" "," "," ",2010,1389,1531
" "," "," ",2011,1391,1787
" "," "," ",2012,1355,2085
" "," "," ",2013,1256,1924
" "," "," ",2014,1314,1433
" "," "," ",2015,1511,1247
" "," "," ",2016,1644,1140
" "," ","Male",1997,1997,1106
" "," "," ",1998,1468,1185
" "," "," ",1999,1325,1359
" "," "," ",2000,1210,1470
" "," "," ",2001,1283,1733
" "," "," ",2002,1886,1356
" "," "," ",2003,2108,1157
" "," "," ",2004,1795,1165
" "," "," ",2005,1656,1324
" "," "," ",2006,1737,1510
" "," "," ",2007,1702,1685
" "," "," ",2008,1707,1912
" "," "," ",2009,1698,2074
" "," "," ",2010,1490,1505
" "," "," ",2011,1458,1901
" "," "," ",2012,1453,2151
" "," "," ",2013,1506,1967
" "," "," ",2014,1625,1349
" "," "," ",2015,1790,1151
" "," "," ",2016,1965,1059
" ","50-54 years","Female",1997,902,718
" "," "," ",1998,903,843
" "," "," ",1999,858,952
" "," "," ",2000,845,1051
" "," "," ",2001,928,1200
" "," "," ",2002,1066,1112
" "," "," ",2003,1096,994
" "," "," ",2004,1088,965
" "," "," ",2005,1066,1125
" "," "," ",2006,1124,1290
" "," "," ",2007,1026,1281
" "," "," ",2008,1138,1485
" "," "," ",2009,1133,1515
" "," "," ",2010,1208,1180
" "," "," ",2011,1178,1458
" "," "," ",2012,1126,1711
" "," "," ",2013,1197,1651
" "," "," ",2014,1268,1296
" "," "," ",2015,1359,1124
" "," "," ",2016,1429,1034
" "," ","Male",1997,1071,784
" "," "," ",1998,956,885
" "," "," ",1999,898,1014
" "," "," ",2000,873,1146
" "," "," ",2001,990,1383
" "," "," ",2002,1264,1145
" "," "," ",2003,1268,962
" "," "," ",2004,1149,939
" "," "," ",2005,1115,1063
" "," "," ",2006,1124,1157
" "," "," ",2007,1079,1293
" "," "," ",2008,1131,1455
" "," "," ",2009,1191,1497
" "," "," ",2010,1134,1188
" "," "," ",2011,1078,1485
" "," "," ",2012,1066,1709
" "," "," ",2013,1092,1599
" "," "," ",2014,1269,1130
" "," "," ",2015,1385,945
" "," "," ",2016,1469,923
" ","55-59 years","Female",1997,617,530
" "," "," ",1998,742,569
" "," "," ",1999,724,596
" "," "," ",2000,636,643
" "," "," ",2001,685,721
" "," "," ",2002,782,672
" "," "," ",2003,815,685
" "," "," ",2004,773,712
" "," "," ",2005,925,821
" "," "," ",2006,843,920
" "," "," ",2007,982,842
" "," "," ",2008,1043,1052
" "," "," ",2009,992,1053
" "," "," ",2010,1053,882
" "," "," ",2011,1149,1032
" "," "," ",2012,1246,1149
" "," "," ",2013,1255,1153
" "," "," ",2014,1285,981
" "," "," ",2015,1459,846
" "," "," ",2016,1518,790
" "," ","Male",1997,717,557
" "," "," ",1998,699,601
" "," "," ",1999,671,600
" "," "," ",2000,663,719
" "," "," ",2001,714,759
" "," "," ",2002,838,684
" "," "," ",2003,843,663
" "," "," ",2004,854,661
" "," "," ",2005,872,780
" "," "," ",2006,868,932
" "," "," ",2007,914,961
" "," "," ",2008,948,1034
" "," "," ",2009,907,1075
" "," "," ",2010,968,865
" "," "," ",2011,951,990
" "," "," ",2012,1032,1183
" "," "," ",2013,1069,1186
" "," "," ",2014,1150,850
" "," "," ",2015,1213,750
" "," "," ",2016,1297,725
" ","60-64 years","Female",1997,444,395
" "," "," ",1998,529,410
" "," "," ",1999,566,404
" "," "," ",2000,500,438
" "," "," ",2001,557,439
" "," "," ",2002,627,421
" "," "," ",2003,611,424
" "," "," ",2004,563,434
" "," "," ",2005,595,430
" "," "," ",2006,637,484
" "," "," ",2007,706,433
" "," "," ",2008,754,529
" "," "," ",2009,788,591
" "," "," ",2010,811,497
" "," "," ",2011,925,597
" "," "," ",2012,942,615
" "," "," ",2013,1004,658
" "," "," ",2014,1113,548
" "," "," ",2015,1248,538
" "," "," ",2016,1344,534
" "," ","Male",1997,467,336
" "," "," ",1998,532,362
" "," "," ",1999,621,366
" "," "," ",2000,536,389
" "," "," ",2001,581,462
" "," "," ",2002,623,400
" "," "," ",2003,654,375
" "," "," ",2004,546,418
" "," "," ",2005,603,453
" "," "," ",2006,619,478
" "," "," ",2007,686,537
" "," "," ",2008,808,620
" "," "," ",2009,802,659
" "," "," ",2010,878,504
" "," "," ",2011,889,609
" "," "," ",2012,921,685
" "," "," ",2013,946,676
" "," "," ",2014,1101,526
" "," "," ",2015,1256,463
" "," "," ",2016,1316,523
" ","65-69 years","Female",1997,322,332
" "," "," ",1998,339,346
" "," "," ",1999,314,274
" "," "," ",2000,324,331
" "," "," ",2001,345,312
" "," "," ",2002,409,286
" "," "," ",2003,400,304
" "," "," ",2004,364,290
" "," "," ",2005,421,286
" "," "," ",2006,420,311
" "," "," ",2007,486,302
" "," "," ",2008,462,326
" "," "," ",2009,475,277
" "," "," ",2010,485,251
" "," "," ",2011,536,322
" "," "," ",2012,505,343
" "," "," ",2013,553,352
" "," "," ",2014,684,351
" "," "," ",2015,718,371
" "," "," ",2016,789,356
" "," ","Male",1997,317,346
" "," "," ",1998,370,404
" "," "," ",1999,367,291
" "," "," ",2000,329,349
" "," "," ",2001,371,303
" "," "," ",2002,440,275
" "," "," ",2003,415,264
" "," "," ",2004,375,273
" "," "," ",2005,439,281
" "," "," ",2006,475,289
" "," "," ",2007,460,285
" "," "," ",2008,516,300
" "," "," ",2009,485,278
" "," "," ",2010,500,269
" "," "," ",2011,564,282
" "," "," ",2012,574,356
" "," "," ",2013,626,346
" "," "," ",2014,724,366
" "," "," ",2015,752,333
" "," "," ",2016,894,361
" ","70-74 years","Female",1997,228,233
" "," "," ",1998,203,221
" "," "," ",1999,180,217
" "," "," ",2000,210,199
" "," "," ",2001,206,214
" "," "," ",2002,257,166
" "," "," ",2003,256,181
" "," "," ",2004,234,201
" "," "," ",2005,259,185
" "," "," ",2006,224,168
" "," "," ",2007,262,155
" "," "," ",2008,268,195
" "," "," ",2009,232,186
" "," "," ",2010,285,182
" "," "," ",2011,303,196
" "," "," ",2012,297,216
" "," "," ",2013,309,198
" "," "," ",2014,323,202
" "," "," ",2015,388,172
" "," "," ",2016,379,189
" "," ","Male",1997,183,219
" "," "," ",1998,192,236
" "," "," ",1999,194,195
" "," "," ",2000,222,215
" "," "," ",2001,198,194
" "," "," ",2002,269,181
" "," "," ",2003,237,172
" "," "," ",2004,214,189
" "," "," ",2005,240,164
" "," "," ",2006,222,174
" "," "," ",2007,271,154
" "," "," ",2008,278,169
" "," "," ",2009,240,145
" "," "," ",2010,307,142
" "," "," ",2011,274,154
" "," "," ",2012,303,204
" "," "," ",2013,345,182
" "," "," ",2014,329,199
" "," "," ",2015,396,200
" "," "," ",2016,386,184
" ","75 years and over","Female",1997,238,285
" "," "," ",1998,215,279
" "," "," ",1999,213,236
" "," "," ",2000,230,257
" "," "," ",2001,204,214
" "," "," ",2002,261,217
" "," "," ",2003,240,210
" "," "," ",2004,240,217
" "," "," ",2005,278,225
" "," "," ",2006,259,230
" "," "," ",2007,265,212
" "," "," ",2008,300,189
" "," "," ",2009,283,200
" "," "," ",2010,265,217
" "," "," ",2011,310,223
" "," "," ",2012,307,238
" "," "," ",2013,329,223
" "," "," ",2014,323,242
" "," "," ",2015,383,208
" "," "," ",2016,389,212
" "," ","Male",1997,183,217
" "," "," ",1998,147,195
" "," "," ",1999,124,147
" "," "," ",2000,161,162
" "," "," ",2001,175,168
" "," "," ",2002,203,142
" "," "," ",2003,177,150
" "," "," ",2004,225,161
" "," "," ",2005,223,145
" "," "," ",2006,181,178
" "," "," ",2007,215,114
" "," "," ",2008,257,135
" "," "," ",2009,229,144
" "," "," ",2010,267,151
" "," "," ",2011,243,177
" "," "," ",2012,272,189
" "," "," ",2013,261,172
" "," "," ",2014,305,166
" "," "," ",2015,336,187
" "," "," ",2016,320,169
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Permanent and long-term arrivals are people arriving for a stay of 12 months or more, including New Zealanders returning after an absence of 12 months or more."
"Permanent and long-term departures are New Zealanders departing for 12 months or more, and migrants leaving after a stay of 12 months or more in New Zealand."
"Actual series are counts derived from a sample of records from April 1975 to August 1997, and hence may contain sample error for these periods."
"Regions are territorial authority groupings that approximate regional council areas. Where territorial authorities span more than one regional council area, a territorial authority has been fully included in the region it is mainly in."
"New Zealand area data is not rebased when boundary changes occur. All data uses territorial authority boundaries which existed during the reference month."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM191AA"
""
"Last updated:"
"24 April 2018 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
